cell_id,red,green,blue
619,541.81,2.39,19.76
620,730.08,2.0,46.69
621,476.83,3.58,19.01
622,163.72,6.89,2.41
623,914.74,4.73,21.17
624,213.42,3.59,2.28
625,557.52,14.31,19.91
626,1037.92,2.6,39.52
627,987.84,2.0,38.41
628,536.71,5.76,21.13
629,762.3,1.73,47.12
630,999.37,1.83,25.46
631,768.46,1.92,38.03
632,968.16,1.89,36.59
633,502.16,4.62,7.92
634,1161.41,2.05,30.41
635,834.59,1.69,54.09
636,354.61,8.06,4.65
637,343.79,3.0,23.23
638,1134.14,1.9,33.63
639,357.5,4.5,1.0
640,174.35,3.55,2.33
641,765.62,1.88,28.97
642,1049.74,3.99,34.6
643,676.89,2.85,23.96
644,1422.44,1.67,29.06
645,419.64,11.42,18.26
646,1618.26,1.87,29.07
647,819.19,2.76,54.19
648,142.88,2.65,2.36
649,183.78,1.75,3.5
650,955.17,2.49,27.66
651,417.08,4.61,20.81
652,509.56,2.1,30.28
653,485.18,2.19,34.46
654,342.24,6.72,3.21
655,99.45,4.1,3.03
656,707.44,9.23,18.09
657,551.56,2.09,14.14
658,385.28,4.09,9.37
659,152.32,2.26,2.16
660,685.26,2.06,34.14
661,66.31,8.28,1.81
662,1298.87,2.2,31.76
663,766.63,2.57,23.51
664,924.69,2.0,30.86
665,797.82,2.18,23.7
666,264.27,4.55,5.53
667,538.43,13.13,24.61
668,874.36,1.98,19.77
669,953.17,5.04,21.07
670,375.11,3.88,14.09
671,634.96,2.31,14.72
672,544.23,5.32,33.71
673,102.26,10.38,2.45
674,658.57,4.85,2.98
675,268.82,3.2,2.28
676,207.63,4.12,3.29
677,747.82,3.28,28.7
678,798.06,2.06,27.4
679,1207.99,2.16,25.04
680,820.65,2.85,18.26
681,623.17,5.61,21.52
682,717.91,3.14,25.17
683,399.21,17.79,14.88
684,515.16,13.55,4.58
685,742.78,10.11,23.64
686,838.18,2.39,18.35
687,758.21,9.12,12.47
688,132.83,8.28,3.84
689,714.06,2.12,16.26
690,268.13,5.98,4.78
